Field_Season,Species,Date_Collected,Plot,Sex,Weight_g,Calibration
2013,DM,7/16/2013,2,F,null,Yes
2013,DM,7/16/2013,7,M,33,Yes
2013,DM,7/16/2013,3,M,null,Yes
2013,DM,7/16/2013,1,M,null,Yes
2013,DM,7/18/2013,3,M,40,Yes
2013,DM,7/18/2013,7,M,48,Yes
2013,DM,7/18/2013,4,F,29,Yes
2013,DM,7/18/2013,6,F,37,Yes
2013,DO,8/19/2013,8,F,52,Yes
2013,DO,10/17/2013,3,F,33,Yes
2013,DO,10/17/2013,3,F,50,Yes
2013,DO,12/10/2013,9,F,40,Yes
2013,DO,12/10/2013,1,M,45,Yes
2013,DO,12/11/2013,8,F,41,Yes
2013,DS,11/12/2013,9,F,117,Yes
2013,DS,11/13/2013,11,F,126,Yes
2013,DS,11/13/2013,17,M,132,No
2013,DS,11/13/2013,14,F,113,No
2013,DS,11/13/2013,11,F,122,Yes
2013,DS,11/13/2013,4,F,107,Yes
2013,DS,11/13/2013,4,F,115,Yes
2014,DM,1/9/2014,1,M,40,Yes
2014,DM,1/9/2014,1,F,36,Yes
2014,DM,3/13/2014,1,F,51,Yes
2014,DM,3/13/2014,1,F,44,Yes
2014,DS,3/13/2014,1,F,146,Yes
2014,NA,1/8/2014,2,null,null,Yes
2014,DM,1/8/2014,2,M,44,Yes
2014,PF,1/8/2014,2,F,7,Yes
2014,DM,1/8/2014,2,M,45,Yes
2014,OT,1/8/2014,2,null,null,Yes
2014,DS,1/8/2014,2,M,157,No
2014,OX,1/8/2014,2,null,null,Yes
2014,NA,2/18/2014,2,M,218,No
2014,PF,2/18/2014,2,F,7,Yes
2014,DM,2/18/2014,2,M,52,Yes
2014,PF,3/11/2015,3,M,8,Yes
2014,NA,4/8/2015,3,F,null,Yes
2014,null,5/6/2015,3,null,null,Yes
2014,NA,5/18/2015,3,F,182,Yes
2014,OT,6/9/2015,3,F,29,Yes
2014,NA,7/8/2015,3,F,115,Yes
2014,NA,7/8/2015,3,M,190,Yes
2014,DM,1/8/1978,4,F,37,Yes
2014,DM,1/8/1978,4,M,null,Yes
2014,DM,1/8/1978,4,F,48,Yes
2014,DO,1/8/1978,4,M,52,Yes
2014,OL,1/8/1978,4,M,35,Yes
